Time	[Smad3n]	[Smad3c]	[Smad4n]	[Smad4c]	[T1R_Surf]	[T2R_Cave]	[T2R_Surf]	[Smads_Complex_n]	[T1R_EE]	[T1R_Cave]	[TGF_beta]	[LRC_Cave]	[LRC_Surf]	[Smads_Complex_c]	[T2R_EE]	[LRC_EE]	Values[Kexp_Smad2n]	Values[Kdeg_T1R_EE]	Values[Klid]	Values[Total_Smad2c]	Values[Total_Smad2n]	Values[kr_EE]	Values[ki_EE]	Values[v_T2R]	Values[v_T1R]	Values[k_LRC]	Values[Kcd]	Values[kr_Cave]	Values[ki_Cave]	Values[Kexp_Smad4n]	Values[Kdiss_Smads_Complex_n]	Values[Kimp_Smad2c]	Values[Kimp_Smads_Complex_c]	Values[Kimp_Smad4c]	Values[Kdeg_T2R_EE]	Values[k_Smads_Complex_c]
0	236.45	492.61	551.72	1149.4	0.237	1.778	0.202	0	2.06	2.092	0.08	0	0	0	1.148	0	1	0.005	0.02609	492.61	236.45	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
20	190.086	331.218	529.637	979.915	0.0412917	0.903526	0.0129594	252.781	1.17598	1.20349	0.0783751	7.48223e-06	0.142411	92.5861	0.411912	0.746631	1	0.005	0.02609	423.804	442.867	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
40	179.937	277.648	534.984	921.179	0.0281821	0.492606	0.0153199	396.765	0.706949	0.727238	0.0774398	3.78525e-06	0.113084	101.544	0.184193	0.926235	1	0.005	0.02609	379.193	576.701	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
60	180.35	276.037	536.916	919.062	0.0168034	0.318202	0.0212372	408.415	0.429919	0.44393	0.0767848	3.01089e-06	0.092591	99.1341	0.130086	0.900627	1	0.005	0.02609	375.171	588.766	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
80	183.149	285.947	538.168	929.488	0.00954758	0.273063	0.030828	392.415	0.258271	0.267568	0.0763236	2.56979e-06	0.0759305	93.6247	0.145016	0.804764	1	0.005	0.02609	379.572	575.565	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
100	187.07	300.676	539.437	945.1	0.00571211	0.30249	0.0424799	365.909	0.153971	0.159964	0.0760177	2.26162e-06	0.0623109	86.4247	0.192643	0.690726	1	0.005	0.02609	387.1	552.979	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
120	191.416	317.297	540.67	962.759	0.00373973	0.371478	0.0542676	335.027	0.0928066	0.0965966	0.0758355	2.05756e-06	0.0519045	78.6483	0.253873	0.582822	1	0.005	0.02609	395.946	526.443	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
140	195.679	333.785	541.776	980.299	0.0026705	0.456794	0.0651654	303.81	0.057677	0.0600538	0.0757486	1.93914e-06	0.0443591	71.1457	0.317233	0.491913	1	0.005	0.02609	404.93	499.489	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
160	199.517	348.754	542.699	996.24	0.00205242	0.544608	0.0748209	275.068	0.0375908	0.0390867	0.0757342	1.88531e-06	0.0390476	64.4778	0.376823	0.420573	1	0.005	0.02609	413.232	474.585	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
180	202.751	361.453	543.426	1009.77	0.00167452	0.627655	0.083195	250.413	0.0260185	0.026976	0.075776	1.87587e-06	0.0353699	58.9192	0.430227	0.367113	1	0.005	0.02609	420.372	453.164	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
