Time	S	ES	P	E
0	30.0	0.0	150.0	100.0
1	0.7405470000000001	27.834	151.425	72.166
2	0.6930689999999999	26.5228	152.784	73.4772
3	0.649328	25.272	154.079	74.72800000000001
4	0.6089479999999999	24.0788	155.312	75.9212
5	0.571603	22.9409	156.488	77.0591
6	0.537004	21.8558	157.607	78.1442
7	0.504898	20.8212	158.674	79.1788
8	0.47506099999999996	19.8348	159.69	80.1652
9	0.44729399999999997	18.8945	160.658	81.1055
10	0.42141999999999996	17.9983	161.58	82.0017
11	0.397279	17.144000000000002	162.459	82.85600000000001
12	0.374731	16.3299	163.295	83.6701
13	0.353647	15.554	164.092	84.446
14	0.333914	14.8147	164.851	85.1853
15	0.31542600000000004	14.1102	165.574	85.8898
16	0.298091	13.4389	166.263	86.5611
17	0.281823	12.7994	166.919	87.2006
18	0.266543	12.19	167.543	87.81
19	0.252183	11.6095	168.138	88.3905
20	0.23867600000000003	11.0565	168.705	88.9435
21	0.225965	10.5297	169.24400000000003	89.4703
22	0.213995	10.0278	169.75799999999998	89.9722
23	0.202716	9.54973	170.248	90.4503
24	0.192082	9.09435	170.71400000000003	90.9056
25	0.182052	8.66059	171.157	91.3394
26	0.172587	8.24744	171.58	91.7526
27	0.16365	7.85392	171.982	92.1461
28	0.15520899999999999	7.47912	172.36599999999999	92.5209
29	0.147232	7.12213	172.731	92.8779
30	0.139693	6.78213	173.078	93.2179
31	0.13256199999999999	6.45832	173.40900000000002	93.5417
32	0.125817	6.14992	173.72400000000002	93.8501
33	0.11943499999999999	5.85621	174.024	94.1438
34	0.11339300000000001	5.57649	174.31	94.4235
35	0.107673	5.3101	174.582	94.6899
36	0.102254	5.05641	174.84099999999998	94.9436
37	0.0971215	4.81481	175.088	95.1852
38	0.0922575	4.58473	175.32299999999998	95.4153
39	0.08764730000000001	4.36563	175.547	95.6344
40	0.0832765	4.156969999999999	175.76	95.84299999999999
41	0.07913200000000001	3.9582800000000002	175.963	96.0417
42	0.0752012	3.7690599999999996	176.15599999999998	96.2309
43	0.0714723	3.58888	176.34	96.4111
44	0.0679343	3.4173	176.515	96.5827
45	0.064577	3.25391	176.68200000000002	96.7461
46	0.0613904	3.09832	176.84	96.9017
47	0.0583656	2.95016	176.99099999999999	97.0498
48	0.055493799999999996	2.80908	177.135	97.1909
49	0.052766999999999994	2.6747400000000003	177.27200000000002	97.3253
50	0.0501774	2.54682	177.403	97.4532
