(dephosphorylation_of_MAPKK-P).V6	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(MAPKKK activation).n	RSS
0.00075	87.0826	0.479169	0.357507	0.372277	0.1	98.2868	0.210783	0.1	0.1	53.2976	4.55142	7.75742	100.0	17.1106	0.175926	0.1	8.87468	100.0	1.03451	86.6957	100.0	11196.3
75.0007	11.3642	0.110718	0.641868	0.142975	0.1	100.0	0.1	0.769276	0.1	7.04741	0.1	99.7327	3.09303	0.367398	8.01557	0.335403	99.9991	100.0	4.1581	43.1651	42.0764	6791.65
150.001	0.1	0.438272	1.05967	0.164575	0.1	57.7836	0.1	0.709743	0.103419	6.57288	5.55053	100.0	97.369	1.1763	0.624427	0.10004	82.3153	100.0	1.49544	49.2624	12.0564	11675.4
225.001	0.1	0.104484	2.28009	0.360404	0.214688	22.6624	0.149994	0.530973	0.1	0.477188	0.455697	80.6235	100.0	2.47467	10.6237	3.41992	56.4806	100.0	0.55974	3.93257	17.6055	27151.5
300.0	0.109058	0.477831	4.08705	1.08791	0.415735	99.9729	0.105288	2.01828	0.10442	0.639757	56.0842	100.0	87.8074	1.19087	6.15226	2.11944	91.9365	99.9155	1.5545	26.9038	2.01619	16373.6
375.0	0.1	0.711885	0.994666	0.231078	0.1	32.217	0.276735	0.100731	0.291269	0.100133	0.1	0.264919	0.1	1.41251	30.75	0.1	54.8408	100.0	0.440019	72.1323	42.2905	27341.0
450.0	0.1	1.66291	0.64403	0.12305	0.1	9.15795	0.750545	1.60429	0.1	4.33752	0.100987	100.0	99.859	1.60113	15.0324	0.131642	75.9939	100.0	1.00261	31.8827	0.189496	14279.3
525.0	0.1	0.575201	1.1587	0.272492	0.1	99.9988	0.361551	1.02299	0.1	0.614844	0.103948	100.0	100.0	1.33212	15.2302	0.102573	68.6232	100.0	0.558996	94.8952	11.5948	19875.6
600.0	0.1	0.810847	0.625877	0.129812	0.1	57.3013	0.56508	1.50476	0.1	5.31646	0.982136	100.0	100.0	1.48928	1.46936	0.1	92.1379	100.0	0.74601	44.9863	0.387796	17696.6
675.0	0.1	0.497264	1.35334	0.125208	0.100926	2.85404	0.534759	1.06359	0.105292	9.75969	0.1	100.0	92.5888	1.67126	6.10671	0.100121	99.9987	95.968	0.519315	41.9193	0.332415	21490.2
750.0	0.1	0.395781	0.874563	0.141427	0.1	16.834	0.264662	0.727405	0.145417	5.41385	0.317919	100.0	61.7618	1.6041	0.1	0.1	58.3743	100.0	0.522023	35.5883	0.406102	23689.0
