(phosphorylation_of_MAPKK-P).KK4	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.015	27.8729	0.146743	0.512319	0.100545	0.1	99.928	0.101565	0.133407	0.1	7.2707	12.0692	37.1286	0.967351	2.07139	0.1	82.4809	100.0	3.22583	24.221	4.778	17.5257	5089.77
1500.01	100.0	0.135685	0.451377	0.43593	0.1	0.1	0.179103	0.1	0.379347	0.113275	15.4162	14.8139	6.5211	1.39608	0.1	7.56156	100.0	0.464378	96.2718	0.550702	86.9424	2284.04
3000.01	94.6682	0.238732	0.41068	0.120163	0.1	47.2921	0.487073	0.136028	0.615162	18.9136	9.30161	54.0967	1.37194	4.62615	0.672324	65.8419	100.0	0.529555	26.076	5.41841	0.488929	9205.76
4500.01	81.9601	0.280366	0.476487	0.210384	0.26168	100.0	0.1	0.1	0.887333	31.6452	82.6741	83.1521	0.1	0.1	0.411673	0.1	82.1774	0.1	1.85123	0.9858	21.7237	35639.4
6000.01	69.2429	0.288733	1.37134	0.37878	0.277671	26.8053	0.373721	0.100013	0.647089	38.6539	60.4359	32.1893	1.69143	1.60887	1.14454	6.67869	100.0	0.243727	10.9946	5.21122	0.390448	17831.1
7500.01	64.3649	0.272639	1.58178	0.119727	0.1	26.9724	0.752225	0.1	1.03959	49.2779	40.1819	96.8591	2.4977	1.64523	3.90243	38.5993	56.4518	0.389168	13.6024	7.26943	0.331127	11043.5
9000.01	86.05	0.485372	0.940224	0.158552	0.103563	63.5696	0.336846	0.118376	0.803535	44.2936	50.7344	44.8842	1.91524	4.42901	2.00393	8.12417	98.377	0.178618	2.69388	6.60302	0.748918	16688.3
10500.0	99.9946	0.102219	0.37198	0.103445	0.134195	45.2936	0.412124	0.101172	0.640618	21.8086	7.95245	63.3366	2.34688	4.7319	0.219089	90.7335	99.8989	0.1	6.81573	7.05057	0.715216	19543.9
12000.0	0.1	0.405744	1.3945	0.223472	0.119936	88.6508	1.04462	0.116474	1.33852	38.1921	22.595	65.8313	2.09878	1.30402	4.22283	65.7454	30.9363	0.104623	23.664	11.1682	0.340988	14813.2
13500.0	0.1	0.111469	0.259607	0.130528	0.128841	35.5695	0.496473	0.1	0.816652	27.5064	48.7932	63.5687	2.64968	2.23411	0.254027	0.693689	16.3547	0.1	1.04799	7.74439	0.495545	23242.2
15000.0	0.1	0.391932	0.71746	0.211432	0.114086	82.0233	1.14639	0.187799	2.47412	76.2133	35.0333	91.7373	3.33012	0.205292	0.625887	26.3623	73.353	0.391069	23.2843	22.1159	0.305535	11747.6
