(phosphorylation_of_MAPKK-P).k4	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
2.5e-05	0.1	0.247707	0.100054	0.220861	0.183468	9.19341	0.3149	0.133903	15.4978	68.3848	37.1172	0.1	0.727847	0.289849	0.1	0.95011	0.10768	0.1	0.1	4.0684	0.126879	39855.6
2.50002	0.1	0.101267	0.673423	0.40941	0.1	0.1	0.211829	0.1	25.2365	52.7182	71.7064	100.0	11.6997	3.74959	0.1	0.1	100.0	0.705315	23.9677	1.0942	92.7785	16450.3
5.00002	55.7694	0.15271	0.360281	0.178127	0.1	33.5211	0.250119	0.1	5.39177	3.81062	0.1	100.0	2.87601	0.100043	0.1	0.774503	100.0	4.56765	47.0393	0.683382	29.5322	17437.7
7.50002	0.1	0.103805	0.534469	0.133329	0.1	32.2965	0.129096	0.143395	3.68245	6.55236	32.2825	100.0	1.11076	4.00036	0.1	16.0453	100.0	2.22167	35.4241	0.916911	24.6946	23602.1
10.0	0.1	0.104601	0.310819	0.198961	0.100248	27.2886	0.130906	0.100628	5.83095	5.50817	38.735	100.0	0.559183	2.21828	0.1	1.18862	99.9808	2.74162	29.8099	0.987091	15.4921	23121.8
12.5	0.1	0.198466	0.362309	0.177543	0.101486	28.7082	0.130115	0.104241	7.36614	9.08843	45.075	100.0	1.23388	3.51925	0.1	1.83164	99.9795	3.34451	27.2192	1.0409	17.7006	23445.9
15.0	94.1654	0.109268	0.288084	0.172228	0.1	13.5756	0.161497	0.1	5.40389	7.6313	36.7903	100.0	0.55803	2.07637	0.1	0.1	100.0	3.01299	34.8074	1.33003	13.2238	22548.1
17.5	95.4255	0.126324	0.109347	0.208772	0.1	21.4979	0.228165	0.1	6.03754	0.1	40.7764	100.0	0.594674	3.20337	0.1	0.1	100.0	3.66594	47.2378	1.40424	16.6379	21704.7
20.0	7.56779	0.20941	0.100038	0.498864	0.1	94.6255	0.143733	0.179278	4.88652	9.91345	99.0962	100.0	0.281075	0.1	0.1	0.694528	100.0	25.2219	99.3677	2.69389	48.9346	17762.1
22.5	3.43442	0.33525	0.156849	0.453558	0.1	95.9004	0.233542	0.156494	31.0041	98.5389	18.1073	100.0	0.1	0.1	0.1	0.724233	100.0	23.0661	81.5635	0.958658	0.558444	18976.1
25.0	0.1	0.682664	0.26355	0.357292	0.1	100.0	0.218536	0.129416	5.59447	2.72489	90.0777	100.0	1.41966	0.1	0.1	1.96353	100.0	18.7059	58.5837	1.97528	44.0835	19799.7
