(MAPKKK_activation).K1	(phosphorylation of MAPKK).KK3	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.01	99.9482	0.542249	0.176155	0.1	12.0661	0.1	0.1	0.1	7.73857	6.1807	22.8965	100.0	2.17422	0.1	0.101003	18.4853	100.0	1.11434	34.9149	1.57875	22.067	2620.28
1000.01	44.2804	0.389656	0.246218	0.135511	30.8118	0.100915	0.1	0.1	6.66403	0.1	5.52449	48.5366	5.82745	6.68782	0.102242	2.45306	93.568	1.67961	34.0115	2.00242	1.66512	4605.89
2000.01	10.3064	2.19904	0.230338	0.12358	56.6793	0.110466	0.102214	0.121275	5.61699	0.1	8.05652	31.1854	5.41763	6.73253	0.11177	6.10051	36.7872	1.69595	23.3224	1.98106	2.5047	6606.22
3000.01	3.22136	0.905591	0.230953	0.112417	34.8121	0.1	0.144796	0.182639	5.14048	0.1	7.97348	22.4008	2.76625	4.5145	0.10001	5.79117	93.481	1.07486	32.0885	1.14655	0.960238	11332.1
4000.01	12.8176	2.24583	0.194028	0.157354	99.852	0.137498	0.129398	0.102445	10.1106	0.1	8.73901	12.6636	9.73401	13.3253	0.463091	23.8547	81.6141	1.91035	24.0426	2.54029	6.73032	7346.25
5000.01	20.3399	1.37909	0.165318	0.108467	99.8954	0.159687	0.124192	0.158056	8.10301	0.1	2.10047	37.3824	9.63089	15.7066	0.731813	53.1753	65.5949	1.6357	31.1033	1.59578	11.9734	7873.56
6000.0	7.00152	0.893133	0.217189	0.1	57.5532	0.1	0.199322	0.196731	4.89134	0.1	3.84343	7.94707	3.488	5.84657	0.103265	15.4777	100.0	1.45534	35.0814	1.47395	1.19972	11487.3
7000.0	14.3711	1.84464	0.304274	0.180232	100.0	0.1068	0.19762	0.171379	10.298	0.1	12.0151	8.34043	8.56741	14.2489	0.100098	10.9513	98.0096	2.61533	39.1388	3.13998	2.10772	8923.98
8000.0	4.21387	1.10044	0.204499	0.1	32.5999	0.1	0.188038	0.200659	2.50445	0.1	8.01533	9.34205	2.53268	4.28149	0.1	11.3999	100.0	0.782063	37.1598	0.811497	0.933844	13583.7
9000.0	13.5549	1.24375	0.18448	0.1	33.2484	0.1	0.202031	0.206527	2.68674	0.1	8.86553	11.4798	2.3295	3.93864	0.100059	10.7116	99.9987	0.762126	31.4813	0.783125	0.686147	13809.0
10000.0	22.2683	0.953316	0.174129	0.1	46.6464	0.1	0.205677	0.202022	1.64027	0.1	9.37911	10.0483	2.81866	4.98664	0.100344	9.73367	100.0	0.948532	25.8704	0.97083	1.22316	13217.3
