(MAPKKK_inactivation).V2	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.00025	68.6005	0.158292	0.952141	0.100862	0.1	0.105846	0.229348	0.233885	13.2344	9.7139	12.0148	15.9494	0.402716	1.76998	0.262002	59.1957	100.0	6.50625	18.0027	4.95109	9.67899	12722.3
25.0002	0.1	0.100509	1.51554	0.289718	0.100282	75.8656	0.28426	0.400599	8.34284	0.809695	7.36578	59.4469	5.10844	9.10205	0.10001	0.1	95.296	1.3216	48.3688	2.31789	0.105965	18871.6
50.0002	99.931	0.108244	1.06862	0.286477	0.1	100.0	0.205222	0.453811	11.8803	20.3506	0.10006	84.3586	15.114	23.4242	0.100029	4.11481	100.0	2.71929	41.6256	1.32717	0.1	16296.8
75.0002	25.9089	0.101443	0.603814	0.158227	0.437354	99.9561	0.861156	0.609016	18.7776	89.6432	53.6289	0.1	7.86219	15.496	2.31728	1.85772	100.0	2.26705	58.6556	4.37397	0.293164	24494.8
100.0	39.1127	0.656	1.94722	0.114402	0.1	91.1107	9.51331	2.50836	100.0	0.1	100.0	0.128905	0.135072	0.1	0.1	0.1	0.1	0.1	2.20075	0.1	83.5376	41379.8
125.0	16.4807	0.101632	2.56182	0.11482	0.118374	99.9771	0.438051	0.417684	6.89414	0.1	41.6128	10.9833	8.15849	14.2921	0.383393	1.5237	93.5014	0.712477	18.2669	1.33812	0.300083	22880.0
150.0	0.1	0.104808	3.97653	0.221576	0.175003	100.0	0.966502	1.14173	28.1942	21.9309	43.0377	33.1069	12.7437	20.9659	2.52076	39.7581	99.8195	2.71977	91.4259	6.12749	0.17461	23367.7
175.0	39.7117	0.274739	0.329767	0.138371	0.404303	86.6763	1.52717	0.875976	28.5887	93.9898	98.7946	0.1	6.47334	17.0805	0.4083	1.8376	27.5125	0.344501	95.6868	1.0678	0.808477	27085.0
200.0	100.0	1.58858	1.32309	0.103445	0.1	93.9306	2.79185	2.31236	90.3853	12.5449	97.123	25.3265	13.0184	14.3481	0.1	54.3629	100.0	0.1	97.4392	0.144264	88.5024	25854.5
225.0	83.9093	0.195585	0.227609	0.22865	0.405937	89.3299	1.25235	0.998204	20.0448	72.4537	63.7893	26.2464	10.3763	22.7164	0.103796	0.10872	100.0	0.422183	49.6441	0.802542	0.879491	25517.0
250.0	72.051	0.100236	1.20599	0.1	0.22347	70.1386	0.284314	0.377044	4.00665	48.0156	31.3737	42.0242	4.78724	17.1867	2.64549	0.689977	38.1978	0.279323	0.514236	0.192333	36.2635	85790.3
