(dephosphorylation_of_MAPK-P).KK10	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.015	91.74	0.203681	0.222221	0.1	0.100323	19.2963	0.139295	0.1	0.1	5.84891	0.1	0.1	100.0	0.576471	3.63492	0.100187	71.8374	1.1311	9.45307	1.20515	8.29137	3715.41
1500.01	99.9131	0.102403	0.983144	0.1	0.1	20.2314	0.1	0.1	0.1	3.10624	25.6334	5.22923	100.0	2.97555	0.931587	1.67516	100.0	0.911663	2.90797	1.13175	17.0459	5374.77
3000.01	99.019	0.107713	0.851097	0.156853	0.1	13.5763	0.1	0.1	0.1	2.81646	22.8749	2.45693	100.0	2.49963	1.23633	1.93246	100.0	1.00356	20.95	1.13451	14.4057	5864.54
4500.01	97.7497	0.104241	1.26029	0.1	0.1	29.259	0.1	0.1	0.1	1.05357	21.9465	1.95719	100.0	2.68006	0.182722	1.47227	100.0	1.00131	20.6515	1.25793	22.166	4720.83
6000.01	70.9001	0.100888	0.733814	0.136586	0.1	11.1036	0.1	0.1	0.1	1.94123	17.8004	0.62346	100.0	2.64872	0.936207	1.47941	100.0	1.05113	22.6902	1.25067	18.5429	5928.62
7500.01	99.962	0.103384	0.566595	0.1	0.1	22.963	0.100001	0.1	0.1	0.1	13.6123	0.1	100.0	0.767757	2.11753	3.0471	100.0	1.13497	48.2526	1.45343	0.988344	4818.53
9000.01	99.8285	0.100566	0.568805	0.1	0.1	25.0706	0.103267	0.1	0.1	0.1	15.9404	0.1	100.0	0.806319	2.27061	2.99117	100.0	1.13623	53.5073	1.46083	1.02285	4834.24
10500.0	99.8142	0.100003	0.62367	0.1	0.1	26.6909	0.10254	0.1	0.1	0.1	15.9189	0.1	100.0	0.785534	2.04644	3.02232	100.0	1.12005	74.8819	1.42613	1.09446	4844.66
12000.0	100.0	0.10066	0.475307	0.1	0.1	0.1	0.15172	0.1	0.104317	0.1	14.5242	0.1	99.6695	1.00447	2.1903	3.68273	100.0	1.21624	54.3714	1.46724	0.461405	4463.73
13500.0	99.9741	0.15807	0.613819	0.1	0.1	22.0757	0.104929	0.1	0.1	0.1	15.592	0.1	100.0	0.726097	2.7349	3.01245	100.0	1.15553	56.2746	1.50268	0.885341	4824.56
15000.0	99.4304	0.118692	0.422911	0.1	0.1	0.1	0.123911	0.1	0.101672	0.1	10.2043	0.1	99.6795	0.939155	1.9951	4.29985	100.0	1.20557	71.1392	1.48057	0.517757	4464.07
