(dephosphorylation_of_MAPK-PP).KK9	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.015	97.1531	0.138391	0.198169	0.146147	0.1	12.1518	0.107918	0.1	0.1	4.69675	6.59561	100.0	0.829641	0.798792	0.104877	15.7506	100.0	1.12736	26.0058	1.33683	8.13327	3442.29
1500.01	86.8816	0.200509	3.26747	0.259668	0.1	64.6228	0.113906	0.1	0.226121	5.91449	12.8288	99.9975	4.03559	5.49284	0.11473	10.8517	100.0	2.45152	27.9507	1.89407	3.30838	9470.21
3000.01	68.9203	0.119822	1.4319	0.164555	0.1	13.8257	0.142894	0.1	0.101284	3.07423	5.01825	83.9463	1.65303	3.02896	0.529715	7.2089	100.0	1.36373	24.4258	1.83624	0.813809	4367.05
4500.01	99.2664	0.14761	2.3798	0.183851	0.103927	2.55757	0.112954	0.1	0.100425	7.21262	0.1	99.2573	1.7984	2.99618	0.415227	4.38149	99.9283	1.26849	25.9743	1.37562	0.868457	3931.75
6000.01	99.9476	0.127804	2.31167	0.196428	0.100018	3.70581	0.141213	0.1	0.1	4.66574	0.1	98.1928	1.61636	3.34827	0.542409	6.57801	99.0157	1.24895	29.5365	1.40121	0.749089	3998.08
7500.01	94.7187	0.100069	1.43497	0.176846	0.103758	2.05461	0.129829	0.1	0.100383	4.64422	3.75262	94.5506	1.67915	3.01796	0.269862	3.20221	95.2448	1.26632	24.4152	1.47355	0.762862	4176.33
9000.01	84.1059	0.106135	1.43748	0.177746	0.1	11.5295	0.146698	0.1	0.1	3.0788	5.52894	76.7012	1.65008	2.93189	0.499891	5.36895	100.0	1.39015	25.5968	1.72697	0.775451	4362.99
10500.0	76.6515	0.110089	1.46794	0.174206	0.102065	12.4412	0.145561	0.1	0.105318	2.94811	5.42971	82.2333	1.64125	2.91354	0.535506	5.03345	99.1706	1.45032	24.2387	1.84568	0.776932	4404.09
12000.0	42.2175	0.121181	1.39178	0.143738	0.1	17.4012	0.142098	0.1	0.101957	3.0914	2.88207	61.178	1.65828	3.05758	0.103923	3.94686	99.9757	1.68737	20.2157	2.13637	0.849945	4362.47
13500.0	41.8838	0.125702	1.40299	0.145947	0.100641	16.9126	0.137036	0.1	0.102784	3.0588	3.15841	63.0719	1.69326	2.96473	0.101229	4.37734	99.6275	1.68925	20.3443	2.17845	0.857794	4377.26
15000.0	38.4345	0.119807	1.33746	0.140521	0.100371	19.0091	0.146032	0.1	0.10646	2.44975	3.69192	73.5342	1.67617	3.0213	0.100059	4.74879	99.8682	1.57524	20.2269	2.17045	0.850463	4436.83
