(phosphorylation_of_MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.015	0.190156	0.500594	0.152002	0.1	24.2978	0.121033	0.1	0.1	0.374269	2.72334	6.92987	25.552	0.893949	0.1	0.103392	15.1729	100.0	2.26507	31.9722	3.19711	0.491099	5520.79
1500.01	0.1	0.739512	0.150884	0.1	15.0915	0.119965	0.426392	0.1	10.4493	10.812	31.3233	100.0	4.18302	0.100078	0.1	29.6865	100.0	0.996351	30.2538	1.09375	21.9271	3173.09
3000.01	0.475508	0.486694	0.172603	0.1	26.9984	0.134346	0.542557	0.1	7.42754	0.1	24.0957	100.0	0.824714	0.463998	0.589324	26.2746	100.0	1.02693	34.8305	0.859068	5.52301	4361.22
4500.01	0.121747	1.09293	0.128822	0.100246	28.0132	0.247576	0.411035	0.1	6.47137	0.272096	19.3367	100.0	0.937505	0.872246	1.19331	20.933	99.5661	0.643318	19.7929	0.387554	0.696736	6106.62
6000.01	0.490781	0.575315	0.370592	0.1	4.93323	0.1	1.42027	0.1	28.2075	7.64875	77.6884	100.0	6.90422	0.102241	0.1	39.2905	100.0	1.14409	97.4018	1.5017	27.7507	2888.54
7500.01	0.1	0.851408	0.125794	0.1	43.8336	0.222203	0.489357	0.1	6.89641	1.62257	23.324	100.0	3.31754	0.1	0.450518	21.4028	100.0	0.885022	19.6881	0.420474	19.8887	7098.53
9000.01	0.424832	0.849681	0.191255	0.1	85.6035	0.353425	1.40774	0.1	24.8965	14.0637	69.7463	100.0	6.50469	0.257069	0.1012	48.2606	100.0	0.999621	51.3081	1.09764	61.8134	3748.6
10500.0	1.03178	0.698011	0.208913	0.1	67.2052	0.659837	1.12786	0.1	15.6255	17.2918	52.9212	100.0	2.30592	2.22767	0.1	20.8398	100.0	1.12004	43.8177	0.816067	0.571813	5242.13
12000.0	0.605236	0.747696	0.146477	0.1	86.4059	0.306394	0.844628	0.1	2.62901	8.17038	35.8939	100.0	5.72458	0.217081	0.101278	33.1532	100.0	0.989695	23.3169	0.508074	25.5617	6639.64
13500.0	0.177288	0.74173	0.202208	0.1	50.6133	0.55448	0.986158	0.1	14.6538	0.1	59.2087	100.0	5.12723	6.11121	0.1	5.3338	100.0	1.06457	35.328	0.707333	0.979162	6552.85
15000.0	0.1	0.60251	0.146349	0.1	19.085	0.454145	0.65748	0.1	8.79751	0.1	28.5015	100.0	4.87656	5.88814	0.162356	19.066	100.0	0.906341	20.9282	0.341527	0.850611	8489.41
