(phosphorylation_of_MAPK-P).KK8	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.015	84.5245	0.101431	0.475705	0.110306	0.115548	9.20503	0.100005	0.1	0.1	3.88476	15.4037	12.1941	100.0	2.97154	2.38037	7.69198	0.383538	1.10964	61.5684	1.44927	49.5465	7040.94
1500.01	99.4293	0.104109	0.1	0.163074	0.596482	23.5267	0.12994	0.1	0.1	13.7123	16.8219	23.276	100.0	1.21038	8.16205	3.23357	99.9996	1.1542	66.0825	1.58221	53.1102	2936.83
3000.01	56.1941	0.184697	0.1	0.154308	0.500321	31.9654	0.240828	0.1	0.100035	9.82284	25.0618	9.79861	47.9758	1.23698	4.28562	0.1	55.8533	1.97399	49.3126	2.27481	0.690988	5136.21
4500.01	66.6151	0.143407	0.107645	0.168379	0.71114	26.0612	0.129041	0.1	0.105247	12.0716	48.1762	2.77565	96.2742	1.48115	5.48058	1.37937	34.5342	1.21836	48.2542	1.44733	1.68993	5062.02
6000.01	83.3904	0.101676	0.1	0.398794	0.771698	39.5457	0.150723	0.1	0.1	13.7036	13.7447	32.0897	98.7605	1.62346	7.46652	3.27393	9.10835	1.06924	18.6997	1.85367	10.2063	3478.85
7500.01	45.9346	0.172203	0.111475	0.369902	0.891307	13.8421	0.102519	0.1	0.1	21.5035	46.8647	34.4427	99.219	2.77334	8.80785	0.211923	10.7277	1.37772	6.36197	2.45931	72.7623	2622.88
9000.01	55.7694	0.466555	0.100279	0.319786	0.910393	46.1137	0.174528	0.1	0.1	21.4241	28.737	52.3402	99.7965	3.29735	8.3269	4.45026	21.237	1.31908	8.22874	2.8145	47.4182	3086.64
10500.0	98.7517	0.359334	0.1	0.243259	1.14542	48.867	0.202011	0.1	0.1	22.9082	24.4858	57.3422	100.0	2.86654	8.56925	5.33152	0.788045	1.27853	1.40649	2.28744	85.3162	2517.02
12000.0	99.9176	0.235986	0.1	0.454417	1.08133	99.9258	0.24505	0.1	0.20549	22.5977	73.9117	42.1947	100.0	2.74311	9.17852	13.5025	3.26616	2.58335	18.2487	2.45182	82.9489	4284.54
13500.0	100.0	0.258875	0.100826	0.587948	1.65881	37.4736	0.173198	0.1	0.1	26.3159	38.0088	57.9739	100.0	4.07225	8.66713	7.23923	8.31594	1.22384	9.87463	2.13093	99.9995	2110.02
15000.0	99.9402	0.671768	0.1	0.295076	2.05608	98.4436	0.364618	0.1	0.1	58.228	99.6822	19.6397	100.0	18.5101	50.4756	0.1	2.49759	1.78331	80.8866	1.72052	15.623	8460.58
